,name,artists,acousticness,liveness,instrumentalness,energy,danceability,valence
4,Again (with The Mellomen),DorisDayTheMellomen,0.981,0.0753,1.13e-06,0.0209,0.495,0.145
3,I Can't Quit You Baby,WillieDixon,0.407,0.215,0.0434,0.236,0.469,0.415
0,Gymnopédie No. 1,ErikSatiePhilippeEntremont,0.994,0.0941,0.937,0.0128,0.469,0.354
8,Someone to Watch Over Me,FrankSinatra,0.947,0.321,9.15e-06,0.151,0.204,0.134
7,Put Your Dreams Away (For Another Day),FrankSinatra,0.95,0.152,0.276,0.0546,0.197,0.1
2,Contigo - Tema Remasterizado,LosPanchos,0.979,0.102,0.000853,0.297,0.789,0.73
1,Sin Ti - Remasterizado,LosPanchos,0.969,0.14,0.0204,0.382,0.674,0.571
6,Saturday Night (Is The Loneliest Night In The Week),FrankSinatra,0.84,0.788,1.52e-06,0.335,0.561,0.59
9,White Christmas,BingCrosbyKenDarbySingersJohnScottTrotterHisOrchestra,0.673,0.338,0.353,0.158,0.317,0.247
5,Nancy (With the Laughing Face) - 78rpm Version,FrankSinatra,0.984,0.156,0.000358,0.0826,0.295,0.169
2,Treat You Better,Shawn Mendes,0.106,0.107,0.0,0.819,0.444,0.747
